hole_cards,preflop_action,position,sample_hand_strength,position_processed,preflop_action_processed
"('7c', 'As')",R,SB,0.2,4,1
"('8c', 'Ad')",F,CO,0.165,2,0
"('Ks', 'As')",R,MP,0.035,1,1
"('4d', 'Ad')",F,MP,0.17,1,0
"('Jd', 'Qs')",F,MP,0.195,1,0
"('7c', 'Kc')",R,MP,0.21,1,1
"('7d', 'Kd')",F,MP,0.21,1,0
"('7d', '7h')",F,MP,0.055,1,0
"('Th', 'Ks')",F,MP,0.175,1,0
"('2h', 'Ah')",R,MP,0.215,1,1
"('Tc', 'Qc')",R,EP,0.15,0,1
"('Js', 'Kd')",F,MP,0.14,1,0
"('As', '9h')",F,MP,0.145,1,0
"('9s', '9c')",R,BTN,0.03,3,1
"('Qs', 'As')",R,BTN,0.04,3,1
"('Qc', 'Kd')",R,MP,0.115,1,1
"('7s', 'Ah')",F,MP,0.2,1,0
"('Td', 'Qd')",F,MP,0.15,1,0
"('Ah', '8c')",F,BTN,0.165,3,0
"('9h', 'As')",F,EP,0.145,0,0
"('Ks', 'As')",R,EP,0.035,0,1
"('6c', '6d')",R,EP,0.09,0,1
"('Ad', '8d')",F,EP,0.105,0,0
"('Qc', 'Ah')",F,CO,0.07,2,0
"('Js', 'Jc')",F,EP,0.02,0,0
"('Ac', '7d')",F,BTN,0.2,3,0
"('Ac', 'Td')",R,MP,0.105,1,1
"('7c', '7h')",F,CO,0.055,2,0
"('6c', '6s')",F,CO,0.09,2,0
"('8c', 'Ad')",F,BTN,0.165,3,0
"('Js', 'Ts')",F,EP,0.21,0,0
"('Kc', 'Jh')",F,EP,0.14,0,0
"('Kc', 'Qh')",R,CO,0.115,2,1
"('Ks', '7s')",F,BTN,0.21,3,0
"('Qc', 'Jd')",F,CO,0.195,2,0
"('Kc', 'Kh')",R,MP,0.01,1,1
"('Qh', 'Ac')",F,MP,0.07,1,0
"('Qc', 'Ks')",F,CO,0.115,2,0
"('Kc', 'Td')",F,BTN,0.175,3,0
"('8d', '8s')",F,MP,0.035,1,0
"('7c', 'Kc')",F,MP,0.21,1,0
"('8h', 'As')",F,MP,0.165,1,0
"('Qh', 'Jc')",F,MP,0.195,1,0
"('8h', '8c')",F,MP,0.035,1,0
"('Jd', 'Ac')",R,MP,0.08,1,1
"('9d', 'Ad')",F,MP,0.085,1,0
"('Ac', 'Ts')",R,CO,0.105,2,1
"('Jh', 'Jc')",F,BTN,0.02,3,0
"('5d', '5s')",F,CO,0.145,2,0
"('Kd', 'Qd')",R,MP,0.07,1,1
"('8h', 'As')",F,EP,0.165,0,0
"('Ac', '8d')",F,EP,0.165,0,0
"('8s', 'Ad')",F,CO,0.165,2,0
"('5s', '5c')",R,CO,0.145,2,1
"('7d', 'Ah')",F,CO,0.2,2,0
"('Ah', 'Ac')",R,EP,0.005,0,1
"('Kh', '8h')",F,EP,0.18,0,0
"('Ad', '9d')",F,MP,0.085,1,0
"('Tc', 'Jc')",F,MP,0.21,1,0
"('Ks', 'Kc')",R,MP,0.01,1,1
"('8c', 'As')",F,MP,0.165,1,0
"('Th', 'Ac')",F,MP,0.105,1,0
"('2s', 'As')",F,BTN,0.215,3,0
"('9s', 'Ad')",R,BTN,0.145,3,1
"('Jh', 'Ks')",F,MP,0.14,1,0
"('9d', '9c')",R,SB,0.03,4,1
"('Kc', 'Js')",R,BTN,0.14,3,1
"('Kc', 'Td')",R,SB,0.175,4,1
"('Ah', '9c')",F,CO,0.145,2,0
"('Ac', '4c')",R,SB,0.17,4,1
"('Ac', '6c')",R,MP,0.155,1,1
"('Ah', 'Ac')",R,MP,0.005,1,1
"('Kc', '8c')",R,SB,0.18,4,1
"('5s', '5c')",R,EP,0.145,0,1
"('Ad', '8c')",F,MP,0.165,1,0
"('Qh', 'Kc')",F,BTN,0.115,3,0
"('Ah', 'Jh')",R,MP,0.055,1,1
"('5d', '5c')",R,SB,0.145,4,1
"('Kh', '8h')",R,CO,0.18,2,1
"('6c', '6s')",R,MP,0.09,1,1
"('Kh', 'Js')",R,BTN,0.14,3,1
"('As', '7c')",R,SB,0.2,4,1
"('Jc', 'Qs')",R,BTN,0.195,3,1
"('Jd', 'Kc')",R,EP,0.14,0,1
"('Td', 'As')",R,MP,0.105,1,1
"('8h', '8c')",F,MP,0.035,1,0
"('Ac', 'Ks')",R,CO,0.05,2,1
"('Ad', '7d')",R,BTN,0.12,3,1
"('6s', '6d')",R,BTN,0.09,3,1
"('Kh', 'Js')",R,SB,0.14,4,1
"('3d', 'Ad')",F,CO,0.205,2,0
"('Td', 'Ts')",R,EP,0.025,0,1
"('Qh', 'Jd')",R,SB,0.195,4,1
"('Qc', 'Jd')",F,MP,0.195,1,0
"('Jd', 'Ah')",R,BTN,0.08,3,1
"('7d', 'As')",F,EP,0.2,0,0
"('Ah', '7h')",R,BTN,0.12,3,1
"('Ac', '8d')",F,CO,0.165,2,0
"('As', 'Ks')",R,CO,0.035,2,1
"('Ac', 'Td')",F,MP,0.105,1,0
"('Ts', 'Kc')",F,CO,0.175,2,0
"('Ks', 'Jc')",F,MP,0.14,1,0
"('Tc', 'Ac')",R,MP,0.06,1,1
"('Qd', 'Ks')",R,BTN,0.115,3,1
"('Ks', 'Ah')",R,SB,0.05,4,1
"('7h', 'Ah')",R,MP,0.12,1,1
"('Ad', '9s')",F,MP,0.145,1,0
"('Qs', 'Jc')",F,CO,0.195,2,0
"('Ad', '7c')",F,MP,0.2,1,0
"('Qs', 'Jd')",F,MP,0.195,1,0
"('Kc', 'Kd')",R,BTN,0.01,3,1
"('Kd', 'Ah')",R,CO,0.05,2,1
"('5c', '5d')",R,MP,0.145,1,1
"('9s', 'Qs')",F,BTN,0.185,3,0
"('Jh', 'Qs')",R,MP,0.195,1,1
"('Ah', '3h')",F,EP,0.205,0,0
"('Kc', 'Tc')",F,MP,0.1,1,0
"('Jh', 'Jd')",F,EP,0.02,0,0
"('Td', 'Kc')",F,MP,0.175,1,0
"('As', '5s')",R,EP,0.155,0,1
"('As', '8d')",F,EP,0.165,0,0
"('Ac', 'Th')",R,SB,0.105,4,1
"('Kh', 'Qd')",F,EP,0.115,0,0
"('Ks', 'Th')",F,EP,0.175,0,0
"('Ac', 'Jc')",F,MP,0.055,1,0
"('7d', 'Ad')",F,SB,0.12,4,0
"('As', '2s')",R,BTN,0.215,3,1
"('Js', 'Jd')",R,CO,0.02,2,1
"('Ah', 'Ts')",R,MP,0.105,1,1
"('Qc', 'Kh')",F,MP,0.115,1,0
"('3c', 'Ac')",F,CO,0.205,2,0
"('7h', 'Kh')",F,MP,0.21,1,0
"('Ad', '6d')",F,CO,0.155,2,0
"('Td', 'Kh')",F,MP,0.175,1,0
"('Kd', 'Tc')",F,EP,0.175,0,0
"('Ah', '8c')",F,CO,0.165,2,0
"('Ah', 'Tc')",R,BTN,0.105,3,1
"('Ac', 'Jd')",R,MP,0.08,1,1
"('Jd', 'Jh')",R,MP,0.02,1,1
"('Qd', '9d')",R,MP,0.185,1,1
"('Ah', '9s')",F,EP,0.145,0,0
"('Tc', 'Ad')",R,CO,0.105,2,1
"('7c', '7h')",F,CO,0.055,2,0
"('As', '9d')",F,MP,0.145,1,0
"('Kc', 'Jc')",R,BTN,0.085,3,1
"('Kc', 'Ts')",F,MP,0.175,1,0
"('Th', 'Jh')",F,MP,0.21,1,0
"('5c', '5s')",F,EP,0.145,0,0
"('Jd', 'Ah')",F,MP,0.08,1,0
"('8d', '8h')",R,MP,0.035,1,1
"('8h', 'Kh')",F,CO,0.18,2,0
"('Kh', 'Js')",R,MP,0.14,1,1
"('Td', 'Kd')",R,BTN,0.1,3,1
"('Ac', '9h')",F,EP,0.145,0,0
"('Td', 'Jd')",R,SB,0.21,4,1
"('Ts', 'Tc')",F,CO,0.025,2,0
"('As', '7d')",F,BTN,0.2,3,0
"('Qd', 'Kh')",R,BTN,0.115,3,1
"('Qd', 'Qs')",R,CO,0.015,2,1
"('Qh', 'Js')",F,MP,0.195,1,0
"('Qd', 'Jc')",F,EP,0.195,0,0
"('Td', 'Kc')",F,CO,0.175,2,0
"('Tc', 'Kd')",R,SB,0.175,4,1
"('9s', 'Ah')",F,MP,0.145,1,0
"('Ad', '8s')",F,MP,0.165,1,0
"('Tc', 'Ks')",F,MP,0.175,1,0
"('Ks', 'Jc')",F,MP,0.14,1,0
"('Qd', 'Ah')",R,CO,0.07,2,1
"('Qd', 'Qs')",R,BTN,0.015,3,1
"('Ah', 'Kc')",R,CO,0.05,2,1
"('Ad', 'Th')",R,SB,0.105,4,1
"('4h', 'Ah')",R,BTN,0.17,3,1
"('Ks', '7s')",R,MP,0.21,1,1
"('Kc', 'Kd')",R,MP,0.01,1,1
"('Kd', 'Jc')",R,CO,0.14,2,1
"('Jc', 'Qd')",F,MP,0.195,1,0
"('Jc', 'Ad')",R,BTN,0.08,3,1
"('Td', 'Tc')",R,EP,0.025,0,1
"('8d', '8s')",R,EP,0.035,0,1
"('As', '5s')",R,CO,0.155,2,1
"('7h', 'As')",R,SB,0.2,4,1
"('Ks', 'Kd')",R,BTN,0.01,3,1
"('As', '7d')",R,BTN,0.2,3,1
"('Qh', 'Th')",R,SB,0.15,4,1
"('Jd', 'Kh')",R,SB,0.14,4,1
"('Qc', 'Jc')",R,CO,0.12,2,1
"('Ks', 'Ad')",F,SB,0.05,4,0
"('3s', 'As')",R,MP,0.205,1,1
"('Js', 'Jh')",R,MP,0.02,1,1
"('9d', '9c')",F,MP,0.03,1,0
"('Ah', '8c')",F,MP,0.165,1,0
"('As', '2s')",R,MP,0.215,1,1
"('7h', 'Ac')",F,MP,0.2,1,0
"('8c', '8s')",R,MP,0.035,1,1
"('Th', 'Jh')",R,CO,0.21,2,1
"('Ts', 'Ac')",R,EP,0.105,0,1
"('Qd', 'Jh')",F,EP,0.195,0,0
"('8s', 'Ac')",F,MP,0.165,1,0
"('Kc', 'Jc')",F,MP,0.085,1,0
"('6s', '6h')",F,EP,0.09,0,0
"('Td', 'Ac')",F,MP,0.105,1,0
"('5c', 'Ac')",R,MP,0.155,1,1
"('Ad', '8c')",F,MP,0.165,1,0
"('Jc', 'Qs')",R,BTN,0.195,3,1
"('8h', 'Kh')",R,MP,0.18,1,1
"('Kc', 'As')",R,SB,0.05,4,1
"('8h', '8s')",F,MP,0.035,1,0
"('Js', 'Jc')",R,MP,0.02,1,1
"('Qs', 'Qc')",R,CO,0.015,2,1
"('7d', 'Ac')",F,MP,0.2,1,0
"('Th', 'Kc')",F,MP,0.175,1,0
"('Jh', 'Qh')",R,BTN,0.12,3,1
"('Kc', '9c')",F,EP,0.145,0,0
"('Jd', 'Js')",R,SB,0.02,4,1
"('5c', '5d')",R,BTN,0.145,3,1
"('Ts', 'Kc')",F,BTN,0.175,3,0
"('Ac', '9s')",F,BTN,0.145,3,0
"('As', 'Th')",R,CO,0.105,2,1
"('Ad', '7h')",F,BTN,0.2,3,0
"('Jd', 'Qs')",R,BTN,0.195,3,1
"('8d', 'As')",F,MP,0.165,1,0
"('8c', 'Kc')",R,BTN,0.18,3,1
"('Ks', '8s')",F,MP,0.18,1,0
"('Ts', 'Td')",F,BTN,0.025,3,0
"('6d', '6h')",F,MP,0.09,1,0
"('Jd', 'Td')",F,BTN,0.21,3,0
"('Qs', 'Kc')",R,SB,0.115,4,1
"('Js', 'Qd')",R,BTN,0.195,3,1
"('Qh', 'Ks')",F,EP,0.115,0,0
"('Kh', '7h')",F,MP,0.21,1,0
"('Ts', 'Ac')",F,CO,0.105,2,0
"('Qd', '9d')",R,MP,0.185,1,1
"('Ad', 'Qs')",R,BTN,0.07,3,1
"('7c', 'Kc')",R,BTN,0.21,3,1
"('4s', 'As')",F,MP,0.17,1,0
"('7c', '7d')",R,MP,0.055,1,1
"('Kc', 'Js')",R,SB,0.14,4,1
"('As', 'Jh')",F,BTN,0.08,3,0
"('Ad', '7d')",R,CO,0.12,2,1
"('Kd', 'Qc')",R,MP,0.115,1,1
"('7s', '7h')",F,MP,0.055,1,0
"('Ah', 'Th')",R,MP,0.06,1,1
"('Jh', 'Qh')",F,CO,0.12,2,0
"('Ad', 'Js')",F,EP,0.08,0,0
"('Jh', 'Ac')",R,MP,0.08,1,1
"('Tc', 'Ad')",F,EP,0.105,0,0
"('7d', 'Ah')",F,CO,0.2,2,0
"('9c', 'Qc')",R,MP,0.185,1,1
"('Tc', 'Jc')",F,BTN,0.21,3,0
"('As', 'Jd')",R,BTN,0.08,3,1
"('3d', 'Ad')",R,BTN,0.205,3,1
"('Ah', 'Jd')",R,CO,0.08,2,1
"('9c', 'As')",F,MP,0.145,1,0
"('Qd', 'Jd')",R,SB,0.12,4,1
"('Jh', 'Ac')",R,MP,0.08,1,1
"('Ac', 'Tc')",R,BTN,0.06,3,1
"('Qc', 'Ac')",R,CO,0.04,2,1
"('2h', 'Ah')",R,SB,0.215,4,1
"('2c', 'Ac')",R,CO,0.215,2,1
"('9h', '9c')",R,EP,0.03,0,1
"('Ks', 'Qd')",F,MP,0.115,1,0
"('Kh', '8h')",F,EP,0.18,0,0
"('Qd', 'Qc')",R,MP,0.015,1,1
"('As', '9c')",F,MP,0.145,1,0
"('8c', 'Ac')",R,MP,0.105,1,1
"('7s', 'Ks')",F,MP,0.21,1,0
"('Kc', 'Qd')",R,SB,0.115,4,1
"('Kh', 'Kc')",R,CO,0.01,2,1
"('Kh', 'Js')",F,EP,0.14,0,0
"('9s', '9c')",R,CO,0.03,2,1
"('7c', '7d')",R,SB,0.055,4,1
"('Kd', 'Qh')",R,BTN,0.115,3,1
"('As', '6s')",R,SB,0.155,4,1
"('Ks', 'Th')",F,MP,0.175,1,0
"('Td', 'Tc')",R,MP,0.025,1,1
"('As', 'Ah')",R,BTN,0.005,3,1
"('Qh', 'Kh')",R,MP,0.07,1,1
"('6s', 'As')",F,CO,0.155,2,0
"('Td', 'Ks')",F,BTN,0.175,3,0
"('Qd', 'Jh')",R,BTN,0.195,3,1
"('Kh', 'Qs')",F,BTN,0.115,3,0
"('Jh', 'Kc')",F,BTN,0.14,3,0
"('Ad', 'Ac')",R,BTN,0.005,3,1
"('4c', 'Ac')",F,CO,0.17,2,0
"('Ah', '8h')",R,CO,0.105,2,1
"('8c', '8h')",F,EP,0.035,0,0
"('Ad', '9d')",F,MP,0.085,1,0
"('Qd', 'Jc')",R,MP,0.195,1,1
"('Jc', 'Qd')",F,CO,0.195,2,0
"('Qh', 'Jd')",F,EP,0.195,0,0
"('Qs', 'Ac')",F,MP,0.07,1,0
"('8h', '8d')",R,MP,0.035,1,1
"('Kh', '9h')",R,MP,0.145,1,1
"('5s', '5d')",R,MP,0.145,1,1
"('Qc', 'Ac')",R,EP,0.04,0,1
"('8c', 'Ad')",F,MP,0.165,1,0
"('Kd', 'Qd')",R,BTN,0.07,3,1
"('9h', '9s')",R,BTN,0.03,3,1
"('7s', 'Ac')",R,SB,0.2,4,1
"('5c', '5h')",R,EP,0.145,0,1
"('Kh', 'Js')",F,MP,0.14,1,0
"('8c', 'Ah')",F,MP,0.165,1,0
"('Qs', 'Jh')",R,CO,0.195,2,1
"('7s', '7h')",F,BTN,0.055,3,0
"('2c', 'Ac')",R,CO,0.215,2,1
"('As', 'Jh')",R,CO,0.08,2,1
"('Kh', 'Ts')",F,BTN,0.175,3,0
"('9c', 'Ah')",F,MP,0.145,1,0
"('5h', '5c')",F,BTN,0.145,3,0
"('Kc', 'Th')",F,EP,0.175,0,0
"('Kc', 'Tc')",R,MP,0.1,1,1
"('Kc', 'Tc')",R,MP,0.1,1,1
"('Th', 'Jh')",F,MP,0.21,1,0
"('Td', 'Ad')",F,MP,0.06,1,0
"('7h', 'Ah')",F,CO,0.12,2,0
"('Ad', '8h')",R,SB,0.165,4,1
"('Jh', 'Th')",F,CO,0.21,2,0
"('Kc', '9c')",F,MP,0.145,1,0
"('Td', 'Ts')",R,MP,0.025,1,1
"('Ac', '5c')",R,BTN,0.155,3,1
"('5d', 'Ad')",R,BTN,0.155,3,1
"('Ks', 'Kd')",R,BTN,0.01,3,1
"('Kc', 'Tc')",F,MP,0.1,1,0
"('2h', 'Ah')",R,BTN,0.215,3,1
"('Tc', 'Ad')",F,BTN,0.105,3,0
"('Qd', 'Td')",R,MP,0.15,1,1
"('6s', '6c')",F,MP,0.09,1,0
"('9h', '9d')",R,MP,0.03,1,1
"('7d', 'Kd')",F,BTN,0.21,3,0
"('Qc', 'Kh')",F,CO,0.115,2,0
"('5s', '5d')",R,CO,0.145,2,1
"('9h', 'Kh')",F,CO,0.145,2,0
"('Jh', 'Jd')",F,EP,0.02,0,0
"('Qc', 'Ac')",R,EP,0.04,0,1
"('Kd', 'Th')",F,EP,0.175,0,0
"('7c', '7d')",R,BTN,0.055,3,1
"('Ah', '9c')",F,EP,0.145,0,0
"('5s', '5h')",F,BTN,0.145,3,0
"('Ac', '9c')",F,EP,0.085,0,0
"('Jc', 'Kh')",R,CO,0.14,2,1
"('8s', 'Ks')",F,MP,0.18,1,0
"('Ad', '7c')",F,MP,0.2,1,0
"('Ah', 'Qs')",R,SB,0.07,4,1
"('Jc', 'Js')",R,CO,0.02,2,1
"('Qd', 'Jc')",F,CO,0.195,2,0
"('Ah', 'Kc')",F,CO,0.05,2,0
"('Tc', 'Kh')",F,MP,0.175,1,0
"('5d', '5h')",R,SB,0.145,4,1
"('Qh', 'Qd')",R,SB,0.015,4,1
"('Ac', '7d')",F,CO,0.2,2,0
"('9h', 'As')",F,BTN,0.145,3,0
"('Ah', 'Td')",F,CO,0.105,2,0
"('Kd', '7d')",R,MP,0.21,1,1
"('Qc', 'Jh')",F,MP,0.195,1,0
"('Jd', 'Kh')",F,MP,0.14,1,0
"('Ad', '7h')",F,MP,0.2,1,0
"('Qh', 'Qc')",R,MP,0.015,1,1
"('Ts', 'Ah')",F,MP,0.105,1,0
"('Jd', 'Ks')",F,BTN,0.14,3,0
"('7h', 'Kh')",F,CO,0.21,2,0
"('Kh', 'Jd')",F,EP,0.14,0,0
"('As', '2s')",F,MP,0.215,1,0
"('Qd', 'As')",R,BTN,0.07,3,1
"('Ad', '7s')",R,BTN,0.2,3,1
"('Ks', 'Td')",R,SB,0.175,4,1
"('Ah', 'Jd')",F,EP,0.08,0,0
"('Kh', 'Th')",F,MP,0.1,1,0
"('4h', 'Ah')",F,BTN,0.17,3,0
"('7d', 'Ad')",F,MP,0.12,1,0
"('Ah', 'Ad')",R,BTN,0.005,3,1
"('Kc', '9c')",F,EP,0.145,0,0
"('Qh', 'Js')",F,MP,0.195,1,0
"('Jd', 'Kd')",F,EP,0.085,0,0
"('5h', 'Ah')",R,MP,0.155,1,1
"('Ts', 'Ad')",F,EP,0.105,0,0
"('Qd', 'Td')",F,CO,0.15,2,0
"('Ac', 'Tc')",F,MP,0.06,1,0
"('Ah', '8d')",F,EP,0.165,0,0
"('6d', 'Ad')",F,BTN,0.155,3,0
"('Qd', 'Ac')",F,EP,0.07,0,0
"('As', '6s')",F,MP,0.155,1,0
"('Ad', '7d')",R,BTN,0.12,3,1
"('Kc', 'Js')",F,MP,0.14,1,0
"('Th', 'Ks')",F,MP,0.175,1,0
"('Qc', 'Kc')",R,MP,0.07,1,1
"('Ts', 'Js')",R,EP,0.21,0,1
"('Qh', 'Ah')",F,MP,0.04,1,0
"('Ac', 'Tc')",F,CO,0.06,2,0
"('Ad', 'Qh')",R,CO,0.07,2,1
"('Ad', '6d')",R,CO,0.155,2,1
"('Js', 'Qd')",F,MP,0.195,1,0
"('Ks', 'Kc')",R,EP,0.01,0,1
"('Ks', 'Tc')",F,MP,0.175,1,0
"('4c', 'Ac')",R,SB,0.17,4,1
"('Ah', 'Qc')",R,BTN,0.07,3,1
"('8d', '8c')",F,EP,0.035,0,0
"('Qc', 'Ac')",R,SB,0.04,4,1
"('7d', '7c')",R,SB,0.055,4,1
"('Js', 'Qc')",F,EP,0.195,0,0
"('5d', '5c')",F,EP,0.145,0,0
"('Kd', 'Ah')",R,EP,0.05,0,1
"('Ah', 'Js')",R,CO,0.08,2,1
"('Jh', 'Js')",R,CO,0.02,2,1
"('7c', 'Ah')",F,MP,0.2,1,0
"('7s', 'Ah')",F,MP,0.2,1,0
"('7d', 'Kd')",F,CO,0.21,2,0
"('5c', '5d')",R,BTN,0.145,3,1
"('Jc', 'Jh')",R,MP,0.02,1,1
"('Ad', 'Tc')",F,MP,0.105,1,0
"('Qc', 'Kc')",F,EP,0.07,0,0
"('Ac', 'Jh')",F,BTN,0.08,3,0
"('Ad', '2d')",R,SB,0.215,4,1
"('Ts', 'Tc')",R,MP,0.025,1,1
"('Tc', 'Kd')",F,MP,0.175,1,0
"('Js', 'Ah')",R,MP,0.08,1,1
"('Qd', 'Ks')",F,MP,0.115,1,0
"('Jc', 'As')",R,MP,0.08,1,1
"('Jd', 'As')",R,SB,0.08,4,1
"('Jh', 'Jd')",F,MP,0.02,1,0
"('As', '5s')",R,MP,0.155,1,1
"('Ah', '7c')",F,CO,0.2,2,0
"('Kh', '7h')",R,BTN,0.21,3,1
"('8h', 'Kh')",R,MP,0.18,1,1
"('7c', 'Ac')",F,MP,0.12,1,0
"('Jh', 'Ks')",F,MP,0.14,1,0
"('Td', 'Tc')",F,CO,0.025,2,0
"('Qh', 'Kd')",R,SB,0.115,4,1
"('As', '7h')",R,SB,0.2,4,1
"('8h', 'As')",R,BTN,0.165,3,1
"('Kd', 'Jc')",R,SB,0.14,4,1
"('8h', '8s')",R,MP,0.035,1,1
"('Kd', 'Qh')",F,MP,0.115,1,0
"('8c', 'Ah')",R,SB,0.165,4,1
"('8s', 'Ac')",F,MP,0.165,1,0
"('Kd', 'Qc')",F,MP,0.115,1,0
"('Js', 'Qs')",R,MP,0.12,1,1
"('Td', 'Jd')",R,CO,0.21,2,1
"('Qc', 'Ad')",R,BTN,0.07,3,1
"('Ts', 'Js')",R,MP,0.21,1,1
"('Ah', '7s')",F,BTN,0.2,3,0
"('Kh', 'Qd')",F,BTN,0.115,3,0
"('6s', '6c')",F,MP,0.09,1,0
"('Ks', 'Qd')",F,EP,0.115,0,0
"('Tc', 'Jc')",F,CO,0.21,2,0
"('As', '8c')",F,CO,0.165,2,0
"('Kd', 'Kh')",R,CO,0.01,2,1
"('7d', 'Ac')",F,EP,0.2,0,0
"('Ad', 'Jc')",R,SB,0.08,4,1
"('Ah', 'Tc')",F,EP,0.105,0,0
"('Tc', 'Ah')",F,MP,0.105,1,0
"('Kd', 'Ah')",R,SB,0.05,4,1
"('Kh', 'Qc')",R,SB,0.115,4,1
"('Qh', 'Qs')",R,CO,0.015,2,1
"('8s', 'Ks')",F,BTN,0.18,3,0
"('Ah', '9h')",F,EP,0.085,0,0
"('Qd', 'Kd')",R,MP,0.07,1,1
"('Ac', '9d')",R,SB,0.145,4,1
"('Jh', 'Kc')",R,SB,0.14,4,1
"('9d', 'Kd')",F,EP,0.145,0,0
"('7s', 'Ad')",F,EP,0.2,0,0
"('Td', 'Tc')",R,BTN,0.025,3,1
"('Js', 'Qc')",R,SB,0.195,4,1
"('8d', 'Ac')",F,CO,0.165,2,0
"('2s', 'As')",F,CO,0.215,2,0
"('Ah', 'Ts')",R,MP,0.105,1,1
"('Qc', 'Ad')",R,CO,0.07,2,1
"('9s', 'As')",F,MP,0.085,1,0
"('Ad', 'Kh')",F,MP,0.05,1,0
"('Kd', 'As')",R,MP,0.05,1,1
"('Ac', 'Qc')",R,BTN,0.04,3,1
"('7c', 'As')",R,BTN,0.2,3,1
"('Js', 'Qd')",F,MP,0.195,1,0
"('Jc', 'Ks')",F,MP,0.14,1,0
"('Kh', 'Jc')",R,BTN,0.14,3,1
"('Ah', 'Js')",R,MP,0.08,1,1
"('Tc', 'Jc')",F,MP,0.21,1,0
"('Ad', '8c')",F,MP,0.165,1,0
"('Ac', '5c')",R,MP,0.155,1,1
"('9h', 'Qh')",F,CO,0.185,2,0
"('As', '8h')",R,SB,0.165,4,1
"('Ac', 'Jc')",R,MP,0.055,1,1
"('8d', '8c')",F,EP,0.035,0,0
"('6c', '6h')",F,MP,0.09,1,0
"('Ah', 'Qh')",R,MP,0.04,1,1
"('Kc', 'Ts')",F,MP,0.175,1,0
"('9c', 'As')",F,MP,0.145,1,0
"('Kc', 'Jd')",F,CO,0.14,2,0
"('Qd', 'Jh')",F,MP,0.195,1,0
"('9c', 'As')",F,MP,0.145,1,0
"('3s', 'As')",F,MP,0.205,1,0
"('Qc', 'Kh')",F,CO,0.115,2,0
"('Ks', 'Qd')",R,MP,0.115,1,1
"('Ad', '8d')",R,CO,0.105,2,1
"('9s', '9h')",F,BTN,0.03,3,0
"('Js', 'Qc')",R,SB,0.195,4,1
"('Kc', 'Th')",F,CO,0.175,2,0
"('7h', '7d')",F,BTN,0.055,3,0
"('8s', 'Ah')",F,MP,0.165,1,0
"('As', 'Qh')",F,MP,0.07,1,0
"('Ah', 'Qh')",R,CO,0.04,2,1
"('Ah', 'Qd')",F,EP,0.07,0,0
"('Jd', 'Kc')",R,SB,0.14,4,1
"('7c', '7h')",R,CO,0.055,2,1
"('Td', 'Kc')",R,BTN,0.175,3,1
"('Js', 'Kc')",R,SB,0.14,4,1
"('9d', 'Ah')",F,MP,0.145,1,0
"('9s', '9d')",R,MP,0.03,1,1
"('Kh', 'Tc')",F,MP,0.175,1,0
"('Ah', 'Qc')",R,BB,0.07,5,1
"('Qh', 'Kd')",F,BTN,0.115,3,0
"('Ks', 'Ts')",F,BTN,0.1,3,0
"('Kd', 'Tc')",F,MP,0.175,1,0
"('Ah', '9s')",F,CO,0.145,2,0
"('Qh', 'Ks')",F,BTN,0.115,3,0
"('Ad', 'Jc')",F,MP,0.08,1,0
"('Jd', 'Js')",R,CO,0.02,2,1
"('Kc', 'Qh')",F,MP,0.115,1,0
"('Jd', 'Kd')",F,MP,0.085,1,0
"('9d', 'Ac')",R,BTN,0.145,3,1
"('7s', 'Ac')",F,MP,0.2,1,0
"('Ad', '9d')",R,MP,0.085,1,1
"('8s', 'Ad')",F,MP,0.165,1,0
"('Ac', 'Jh')",R,MP,0.08,1,1
"('Ad', '7d')",R,BTN,0.12,3,1
"('5c', '5d')",F,MP,0.145,1,0
"('8s', 'Ad')",F,MP,0.165,1,0
"('3c', 'Ac')",R,EP,0.205,0,1
"('Ad', 'Ac')",R,BTN,0.005,3,1
"('7d', 'Ac')",R,BTN,0.2,3,1
"('Qh', 'Kc')",R,EP,0.115,0,1
"('Jh', 'Kd')",R,BTN,0.14,3,1
"('Ah', '7c')",F,CO,0.2,2,0
"('Qh', 'Ac')",R,SB,0.07,4,1
"('Jd', 'Qs')",F,CO,0.195,2,0
"('6c', 'Ac')",R,BTN,0.155,3,1
"('Jd', 'Qc')",F,MP,0.195,1,0
"('Ad', 'Ac')",R,MP,0.005,1,1
"('8d', 'Ac')",F,MP,0.165,1,0
"('Jh', 'Jd')",R,MP,0.02,1,1
"('Qh', 'As')",R,SB,0.07,4,1
"('7s', '7d')",F,BTN,0.055,3,0
"('Qd', 'Td')",F,BTN,0.15,3,0
"('Jh', 'Kd')",F,EP,0.14,0,0
"('Qs', 'Ks')",R,EP,0.07,0,1
"('Kh', 'Qc')",F,EP,0.115,0,0
"('Ad', 'Kd')",F,EP,0.035,0,0
"('Tc', 'Kc')",R,SB,0.1,4,1
"('Ac', 'Qs')",F,EP,0.07,0,0
"('7h', 'Ac')",R,BTN,0.2,3,1
"('Jh', 'Kh')",R,BTN,0.085,3,1
"('6h', '6c')",F,EP,0.09,0,0
"('Qs', 'Ac')",R,MP,0.07,1,1
"('7c', 'Ad')",F,MP,0.2,1,0
"('Qh', 'Js')",R,SB,0.195,4,1
"('Ts', 'Td')",R,CO,0.025,2,1
"('6d', '6h')",R,MP,0.09,1,1
"('As', '6s')",R,BTN,0.155,3,1
